"filename", "language", "C++", "HTML", "YAML", "JSON", "Dart", "Swift", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\domain\models\dias.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\domain\models\estudiante.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\domain\models\grupos.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 13
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\domain\models\listaAsistencia.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\domain\models\textos.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\domain\models\users.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 12, 3, 63
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\main.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 4, 48
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\peticiones\PeticionesAsistencia.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\peticiones\PeticionesEstudiante.dart", "Dart", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\peticiones\peticionesMateria.dart", "Dart", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\peticiones\peticionesUsers.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\app.dart", "Dart", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 4, 3, 68
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\auth\login.dart", "Dart", 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 1, 16, 188
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\auth\login_get.dart", "Dart", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 8, 170
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\auth\registrarse.dart", "Dart", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 13, 185
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\Schedule\ViewHorario.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\actividades.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\home\home.dart", "Dart", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 6, 107
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\maters\View_Add_Materias.dart", "Dart", 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 1, 17, 298
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\maters\View_Edit_Grupos.dart", "Dart", 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 1, 15, 265
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\maters\View_Grupos.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 25, 5, 88
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\maters\viewDialogic.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\students\View_List_Assistance.dart", "Dart", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 7, 173
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\students\View_List_Studen.dart", "Dart", 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 10, 306
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\utils\datePicker.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\lib\ui\pages\utils\drawer.dart", "Dart", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 4, 93
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\pubspec.yaml", "YAML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 58, 15, 103
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\test\widget_test.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\web\index.html", "HTML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
